instance,p,radius,best_cov,best_dist,time
kroB100.tsp,4,600,65,7016.009675010595,107.39726614952087
kroB100.tsp,4,700,80,7412.914432279523,108.6379063129425
kroB100.tsp,4,800,87,5804.278411446137,106.68379282951355
