instance,p,radius,best_cov,best_dist,time
kroD100.tsp,4,600,66,7155.647622538616,106.29769992828369
kroD100.tsp,4,700,78,5976.302634508239,106.77092504501343
kroD100.tsp,4,800,87,5975.530244129895,106.79992604255676
