instance,p,radius,final_dist,final_cov,total_time,time_best_found,iter_best_found,init_dist,init_cov,instance_name,rep
instancias/att532.tsp,20,882.0581896904537,    22451.222401282455,   532,     623.8803434371948,316.5391983985901,2,26737.649847550103,530,att532.tsp,1
instancias/ch150.tsp,15,84.94485752089685,     2477.230215181668,    122,     485.59757375717163,39.73512864112854,7,2677.548906262619,122,ch150.tsp,1
instancias/d198.tsp,20,426.02327565521585,     8483.338783702013,    198,     1115.4132595062256,766.5044467449188,1,9348.107819740195,198,d198.tsp,1
instancias/eil51.tsp,6,8.563293758829017,      94.91608185912776,    24,      10.10237431526184,0.2582402229309082,2,118.9228991073605,24,eil51.tsp,1
instancias/kroA100.tsp,10,414.97819219809617,  8487.832850064606,    78,      97.43878173828125,6.187129974365234,5,10103.568710009882,77,kroA100.tsp,1
instancias/kroA200.tsp,20,429.3092708060239,   10919.887784964338,   200,     621.262945652008,278.7428467273712,7,12464.703696950848,198,kroA200.tsp,1
instancias/kroB100.tsp,10,416.72561716314016,  10326.673899266383,   79,      63.17202138900757,7.532736539840698,8,9713.038255473504,75,kroB100.tsp,1
instancias/kroB200.tsp,20,417.03013080591666,  10483.115274840737,   200,     627.0101008415222,468.78629636764526,12,12867.60682197196,196,kroB200.tsp,1
instancias/kroC100.tsp,10,418.72917261638224,  8929.66390036984,     81,      89.62269330024719,1.9542126655578613,2,11031.965587841463,77,kroC100.tsp,1
instancias/kroD100.tsp,10,402.8290208016299,   8836.123835838149,    84,      70.85535550117493,2.903125047683716,1,10035.464543488708,83,kroD100.tsp,1
instancias/pcb1173.tsp,20,332.32664653921455,  10557.59124423897,    1171,    760.1028783321381,610.5663022994995,1,10648.96493424038,1132,pcb1173.tsp,1
instancias/pcb442.tsp,20,484.14873747640826,   13633.92240139012,    442,     616.6738934516907,369.50207233428955,4,14303.245481018434,433,pcb442.tsp,1
