instance,p,radius,alpha,final_dist,final_cov,final_obj,vns_time,time_best_found,iter_best_found,init_dist,init_cov
kroA100.tsp,4,600,0.001,6200.9613023348,64,-57.7350386976652,27.786555528640747,0.0,0,6200.9613023348,64
kroA100.tsp,4,600,0.01,2366.9524651814877,41,-16.920475348185118,32.76728415489197,0.7297515869140625,1,6200.9613023348,64
kroA100.tsp,4,600,0.1,422.84000033270445,13,30.584000033270442,44.3068687915802,30.532575368881226,7,6200.9613023348,64
kroA100.tsp,4,700,0.001,7169.665024384426,77,-69.75333497561557,30.49209213256836,0.5871706008911133,1,6860.489920325398,74
kroA100.tsp,4,700,0.01,3768.0180165423176,60,-21.719819834576825,31.73208498954773,1.0014476776123047,1,6860.489920325398,74
kroA100.tsp,4,700,0.1,536.3039706221942,25,31.13039706221943,37.21987199783325,29.17979621887207,8,6860.489920325398,74
kroA100.tsp,4,800,0.001,6356.107138062265,84,-77.55989286193773,29.47748374938965,0.5940725803375244,1,6225.174149593059,82
kroA100.tsp,4,800,0.01,3768.0180165423176,68,-29.63981983457682,28.27140784263611,0.7950108051300049,1,6225.174149593059,82
kroA100.tsp,4,800,0.1,536.3039706221942,26,30.230397062219428,37.726191997528076,3.4142889976501465,1,6225.174149593059,82
kroA100.tsp,6,600,0.001,7467.507562532405,85,-77.4474924374676,153.6528468132019,11.372700214385986,1,7935.396831122082,83
kroA100.tsp,6,600,0.01,5183.76182609895,71,-18.452381739010505,155.01497173309326,110.22452163696289,8,7935.396831122082,83
kroA100.tsp,6,600,0.1,913.7172928765111,23,70.67172928765112,191.6733329296112,4.342016220092773,1,7935.396831122082,83
kroA100.tsp,6,700,0.001,8020.359687455314,94,-85.8856403125447,150.6860213279724,6.582497596740723,1,7466.602965663067,89
kroA100.tsp,6,700,0.01,4749.264340328113,74,-25.767356596718876,159.05230331420898,20.024378299713135,2,7466.602965663067,89
kroA100.tsp,6,700,0.1,886.9315313717061,23,67.99315313717061,196.8355691432953,75.93646788597107,4,7466.602965663067,89
kroA100.tsp,6,800,0.001,8133.1112771765875,99,-90.76788872282341,154.46617102622986,39.319480419158936,3,6839.7373710108495,94
kroA100.tsp,6,800,0.01,4119.071928899403,73,-31.079280711005964,154.21257281303406,86.88787698745728,6,6839.7373710108495,94
kroA100.tsp,6,800,0.1,885.9766554556525,27,64.29766554556525,193.59531664848328,38.81982064247131,1,6839.7373710108495,94
kroA100.tsp,8,600,0.001,8125.194457099584,96,-87.77880554290041,346.4878935813904,6.806342124938965,1,8877.479163836888,92
kroA100.tsp,8,600,0.01,6604.298145249637,88,-21.077018547503627,306.08705496788025,6.771763801574707,1,8877.479163836888,92
kroA100.tsp,8,600,0.1,1192.815542224739,23,98.5815542224739,384.45930004119873,64.42856621742249,1,8877.479163836888,92
kroA100.tsp,8,700,0.001,8530.041938360113,100,-91.36995806163989,366.698938369751,65.38496589660645,2,8256.414729926359,98
kroA100.tsp,8,700,0.01,4720.90214237118,74,-26.050978576288202,298.03908371925354,15.216393232345581,1,8256.414729926359,98
kroA100.tsp,8,700,0.1,1193.7704181407926,25,96.87704181407926,379.3234190940857,125.39885258674622,2,8256.414729926359,98
kroA100.tsp,8,800,0.001,7037.609155112236,100,-92.86239084488777,307.73586082458496,3.8879494667053223,1,8291.403525077232,100
kroA100.tsp,8,800,0.01,6013.531153375619,94,-32.92468846624381,245.93600010871887,67.06897926330566,2,8291.403525077232,100
kroA100.tsp,8,800,0.1,1192.815542224739,29,93.18155422247389,289.6597445011139,30.94674849510193,1,8291.403525077232,100
