instance,p,radius,alpha,final_dist,final_cov,final_obj,vns_time,time_best_found,iter_best_found,init_dist,init_cov
kroB200.tsp,4,600,0.001,6124.064663911221,121,-114.75493533608878,134.99062085151672,44.13029956817627,3,6531.879377093672,119
kroB200.tsp,4,600,0.01,4820.62630801521,116,-66.6337369198479,147.050555229187,109.32481098175049,8,6531.879377093672,119
kroB200.tsp,4,600,0.1,278.6994104704087,34,-2.7300589529591335,180.46567058563232,76.51880526542664,4,6531.879377093672,119
kroB200.tsp,4,700,0.001,6787.090696216487,152,-145.06090930378352,132.4680483341217,10.14460015296936,1,6411.755841467523,147
kroB200.tsp,4,700,0.01,5649.345199367372,147,-89.03654800632629,123.90735650062561,2.9064505100250244,1,6411.755841467523,147
kroB200.tsp,4,700,0.1,278.6994104704087,42,-9.930058952959136,152.32906818389893,24.424070835113525,2,6411.755841467523,147
kroB200.tsp,4,800,0.001,6059.944020659916,172,-165.7680559793401,125.27560806274414,3.0681166648864746,1,5524.306924400561,163
kroB200.tsp,4,800,0.01,5831.2150197555,170,-109.987849802445,130.80047821998596,10.46250319480896,1,5524.306924400561,163
kroB200.tsp,4,800,0.1,278.6994104704087,55,-21.630058952959132,147.14158940315247,14.222878694534302,1,5524.306924400561,163
kroB200.tsp,6,600,0.001,7109.510090125944,166,-158.72448990987405,695.9967555999756,541.3251881599426,8,8495.209928564122,160
kroB200.tsp,6,600,0.01,6554.887596662147,161,-93.84112403337852,619.4325852394104,50.01028537750244,1,8495.209928564122,160
kroB200.tsp,6,600,0.1,648.6200843125833,38,30.66200843125833,813.7871716022491,69.00234150886536,1,8495.209928564122,160
kroB200.tsp,6,700,0.001,7273.840665535159,193,-185.53315933446484,637.1070284843445,103.6364483833313,1,7600.023479499561,179
kroB200.tsp,6,700,0.01,7004.792001331023,191,-119.04207998668977,547.7146553993225,28.37902569770813,1,7600.023479499561,179
kroB200.tsp,6,700,0.1,566.7365935640302,51,10.773659356403023,747.4002437591553,19.85799741744995,1,7600.023479499561,179
kroB200.tsp,6,800,0.001,6978.671589859667,200,-192.82132841014035,693.1828424930573,146.31127381324768,2,6404.23144228213,187
kroB200.tsp,6,800,0.01,6483.33491592063,198,-131.1866508407937,629.6714243888855,57.09156394004822,1,6404.23144228213,187
kroB200.tsp,6,800,0.1,566.7365935640302,59,3.57365935640302,670.8006768226624,19.257204294204712,1,6404.23144228213,187
kroB200.tsp,8,600,0.001,8045.881520635424,193,-184.76111847936457,1462.9120552539825,120.44560170173645,1,8277.640177666246,187
kroB200.tsp,8,600,0.01,7776.321302675187,191,-111.32678697324813,1218.0188393592834,266.57753229141235,2,8277.640177666246,187
kroB200.tsp,8,600,0.1,757.1644988810395,45,35.21644988810395,1641.5768752098083,389.0782079696655,1,8277.640177666246,187
kroB200.tsp,8,700,0.001,7963.663271316285,200,-191.83633672868373,1303.8006954193115,117.9006507396698,1,8415.44110681726,196
kroB200.tsp,8,700,0.01,7045.344718773605,197,-124.57655281226396,1454.6417484283447,521.6095685958862,3,8415.44110681726,196
kroB200.tsp,8,700,0.1,757.1644988810395,52,28.916449888103948,1764.5794320106506,1441.9691016674042,7,8415.44110681726,196
kroB200.tsp,8,800,0.001,6914.318767233801,200,-192.88568123276622,1378.2953686714172,442.6289324760437,2,8195.634060607796,199
kroB200.tsp,8,800,0.01,6206.058251384961,196,-131.97941748615037,1127.341688632965,30.52055287361145,1,8195.634060607796,199
kroB200.tsp,8,800,0.1,757.1644988810395,61,20.816449888103953,1200.971096277237,73.94302606582642,1,8195.634060607796,199
