instance,p,radius,final_dist,final_cov,total_time,time_best_found,iter_best_found,instance_name,rep
instancias/att532.tsp,20,882.0581896904537,    22944.742608712037,  532,  602.4445197582245,491.5577595233917,73,att532.tsp,1
instancias/ch150.tsp,15,84.94485752089685,     2477.230215181668 ,  122,  320.4404833316803,24.246883153915405,62,ch150.tsp,1
instancias/d198.tsp,20,426.02327565521585,     8487.195976396659 ,  198,  605.3217163085938,551.7149217128754,5,d198.tsp,1
instancias/eil51.tsp,6,8.563293758829017,      94.91608185912776 ,  24,   10.716804027557373,0.8289809226989746,63,eil51.tsp,1
instancias/kroA100.tsp,10,414.97819219809617,  8487.832850064606 ,  78,   68.63871884346008,11.74740219116211,119,kroA100.tsp,1
instancias/kroA200.tsp,20,429.3092708060239,   10828.250382602375,  200,  600.0826940536499,529.368842124939,295,kroA200.tsp,1
instancias/kroB100.tsp,10,416.72561716314016,  10326.673899266383,  79,   108.73214554786682,7.1874871253967285,65,kroB100.tsp,1
instancias/kroB200.tsp,20,417.03013080591666,  10498.350702523692,  200,  600.7619380950928,449.2717378139496,270,kroB200.tsp,1
instancias/kroC100.tsp,10,418.72917261638224,  8929.66390036984  ,  81,   103.86891913414001,0.45957112312316895,5,kroC100.tsp,1
instancias/kroD100.tsp,10,402.8290208016299,   8836.123835838149 ,  84,   90.25154376029968,0.393507719039917,3,kroD100.tsp,1
instancias/pcb1173.tsp,20,332.32664653921455,  10503.102934857285,  1166, 602.1841418743134,222.34214973449707,59,pcb1173.tsp,1
instancias/pcb442.tsp,20,484.14873747640826,   13959.759371653518,  442,  600.5913181304932,8.575288534164429,3,pcb442.tsp,1
