instance,p,radius,final_dist,final_cov,vns_time,time_best_found,iter_best_found,init_dist,init_cov,instance_name,rep
instancias/att532.tsp,20,882.0581896904537,   25028.3518860277,    531,   600.981526851654,600.9815256595612,1,26737.649847550103,530,att532.tsp,1
instancias/ch150.tsp,15,84.94485752089685,    2477.2302151816684,  122,   600.1848404407501,34.8848192691803,1,2677.548906262619,122,ch150.tsp,1
instancias/d198.tsp,20,426.02327565521585,    8555.4805590182,     198,   600.1082270145416,524.6102209091187,1,9348.107819740195,198,d198.tsp,1
instancias/eil51.tsp,6,8.563293758829017,     94.91608185912776,   24,   313.6288232803345,8.543559074401855,1,118.9228991073605,24,eil51.tsp,1
instancias/kroA100.tsp,10,414.97819219809617, 8487.832850064606,   78,   600.0261216163635,239.20245480537415,3,10103.568710009882,77,kroA100.tsp,1
instancias/kroA200.tsp,20,429.3092708060239,  11137.05176660113,   200,   600.1536567211151,373.2480161190033,1,12464.703696950848,198,kroA200.tsp,1
instancias/kroB100.tsp,10,416.72561716314016, 10326.673899266383,  79,   600.016282081604,142.87853860855103,1,9713.038255473504,75,kroB100.tsp,1
instancias/kroB200.tsp,20,417.03013080591666, 10512.386917850994,  200,   600.0520207881927,531.8942828178406,1,12867.60682197196,196,kroB200.tsp,1
instancias/kroC100.tsp,10,418.72917261638224, 8929.66390036984,    81,   600.0622460842133,81.90940737724304,1,11031.965587841463,77,kroC100.tsp,1
instancias/kroD100.tsp,10,402.8290208016299,  8836.123835838149,   84,   600.0515220165253,30.96478796005249,1,10035.464543488708,83,kroD100.tsp,1
instancias/pcb1173.tsp,20,332.32664653921455, 10093.82199051793,   1132,   601.0389966964722,601.0389952659607,1,10648.96493424038,1132,pcb1173.tsp,1
instancias/pcb442.tsp,20,484.14873747640826,  13181.20591627044,   438,   601.9212808609009,601.9212787151337,1,14303.245481018434,433,pcb442.tsp,1
