instance,p,radius,alpha,final_dist,final_cov,final_obj,vns_time,time_best_found,iter_best_found,init_dist,init_cov
kroC100.tsp,4,600,0.001,6245.9541362265045,65,-58.6890458637735,31.355925798416138,0.8872838020324707,1,7550.4128247812605,64
kroC100.tsp,4,600,0.01,1672.5759664708298,37,-19.904240335291703,37.05837082862854,1.176220417022705,1,7550.4128247812605,64
kroC100.tsp,4,600,0.1,381.3450961329513,20,20.13450961329513,41.49649739265442,22.161780834197998,5,7550.4128247812605,64
kroC100.tsp,4,700,0.001,5956.2219888566115,77,-70.96677801114339,33.388710260391235,1.4204638004302979,1,5791.338332807755,76
kroC100.tsp,4,700,0.01,1290.7132319662228,37,-23.722867680337774,38.078550577163696,3.0753273963928223,1,5791.338332807755,76
kroC100.tsp,4,700,0.1,381.3450961329513,27,13.834509613295129,35.02450776100159,2.1941134929656982,1,5791.338332807755,76
kroC100.tsp,4,800,0.001,6305.78623443801,87,-80.607213765562,32.39141225814819,9.081542730331421,3,6102.661387193215,86
kroC100.tsp,4,800,0.01,5393.001804928641,84,-29.229981950713587,32.33568072319031,2.146608352661133,1,6102.661387193215,86
kroC100.tsp,4,800,0.1,381.3450961329513,33,8.43450961329513,43.58087611198425,22.51075315475464,5,6102.661387193215,86
kroC100.tsp,6,600,0.001,7130.276351138447,84,-76.78572364886155,164.24719882011414,22.11381435394287,1,7882.266439066156,84
kroC100.tsp,6,600,0.01,1905.0158542941515,39,-19.559841457058486,182.0975263118744,22.318092584609985,1,7882.266439066156,84
kroC100.tsp,6,600,0.1,899.3784129858449,21,71.03784129858448,215.65244913101196,32.14988565444946,1,7882.266439066156,84
kroC100.tsp,6,700,0.001,6938.923988909262,92,-84.96907601109073,153.41622066497803,8.72409439086914,1,7368.998993250529,90
kroC100.tsp,6,700,0.01,5844.087034763938,86,-26.699129652360618,157.1635570526123,2.467726469039917,1,7368.998993250529,90
kroC100.tsp,6,700,0.1,595.9072007084316,20,41.59072007084316,209.6809902191162,106.75821018218994,5,7368.998993250529,90
kroC100.tsp,6,800,0.001,7195.23625109827,100,-92.70476374890174,155.31309604644775,4.986142873764038,1,7264.563596127894,97
kroC100.tsp,6,800,0.01,5690.367759591319,93,-35.166322404086806,161.37212562561035,22.375876903533936,1,7264.563596127894,97
kroC100.tsp,6,800,0.1,595.9072007084316,25,37.09072007084316,199.7843873500824,22.424269914627075,1,7264.563596127894,97
kroC100.tsp,8,600,0.001,8781.218227859928,97,-88.12178177214008,375.592490196228,77.17248463630676,2,8240.097520307423,93
kroC100.tsp,8,600,0.01,6249.6911596107675,85,-21.653088403892326,325.024489402771,175.4781529903412,4,8240.097520307423,93
kroC100.tsp,8,600,0.1,914.9848042865403,17,76.19848042865404,446.0124638080597,39.36315298080444,1,8240.097520307423,93
kroC100.tsp,8,700,0.001,8020.79234307656,100,-91.87920765692344,315.56414008140564,28.039068460464478,1,9422.774614987546,98
kroC100.tsp,8,700,0.01,6108.485122281728,91,-29.005148777182725,368.40903639793396,10.160754919052124,1,9422.774614987546,98
kroC100.tsp,8,700,0.1,914.9848042865403,20,73.49848042865403,456.6323390007019,72.76254987716675,1,9422.774614987546,98
kroC100.tsp,8,800,0.001,7185.672491783627,100,-92.71432750821637,322.4581079483032,41.54181361198425,1,9034.181399262648,100
kroC100.tsp,8,800,0.01,5648.412899006205,94,-36.57587100993795,248.12832021713257,42.257731676101685,1,9034.181399262648,100
kroC100.tsp,8,800,0.1,914.9848042865403,27,67.19848042865404,306.5146224498749,34.33856773376465,1,9034.181399262648,100
