instance,p,radius,final_dist,final_cov,total_time,time_best_found,iter_best_found,instance_name,rep
instancias/att532.tsp,0,882.0581896904537,0.0,0,0.006684780120849609,6.937980651855469e-05,1,att532.tsp,1
instancias/ch150.tsp,0,84.94485752089685,0.0,0,0.004017353057861328,6.67572021484375e-05,1,ch150.tsp,1
instancias/d198.tsp,0,426.02327565521585,0.0,0,0.0041577816009521484,4.6253204345703125e-05,1,d198.tsp,1
instancias/eil51.tsp,0,8.563293758829017,0.0,0,0.006498813629150391,6.818771362304688e-05,1,eil51.tsp,1
instancias/kroA100.tsp,0,414.97819219809617,0.0,0,0.003828287124633789,6.151199340820312e-05,1,kroA100.tsp,1
instancias/kroA200.tsp,0,429.3092708060239,0.0,0,0.0037801265716552734,5.078315734863281e-05,1,kroA200.tsp,1
instancias/kroB100.tsp,0,416.72561716314016,0.0,0,0.003999233245849609,6.699562072753906e-05,1,kroB100.tsp,1
instancias/kroB200.tsp,0,417.03013080591666,0.0,0,0.0043125152587890625,6.818771362304688e-05,1,kroB200.tsp,1
instancias/kroC100.tsp,0,418.72917261638224,0.0,0,0.006932497024536133,8.487701416015625e-05,1,kroC100.tsp,1
instancias/kroD100.tsp,0,402.8290208016299,0.0,0,0.00702357292175293,6.175041198730469e-05,1,kroD100.tsp,1
instancias/pcb1173.tsp,0,332.32664653921455,0.0,0,0.012006521224975586,9.417533874511719e-05,1,pcb1173.tsp,1
instancias/pcb442.tsp,0,484.14873747640826,0.0,0,0.005620718002319336,6.818771362304688e-05,1,pcb442.tsp,1
