instance,p,radius,final_dist,final_cov,vns_time,time_best_found,iter_best_found,init_dist,init_cov
instancias/kroA200.tsp,4,600,6980.517064516802,127,487.4227292537689,152.0030493736267,33,6980.517064516803,127
instancias/kroA200.tsp,4,700,6362.20437482423,149,363.1768527030945,295.1940040588379,122,6503.980342651507,149
instancias/kroA200.tsp,4,800,6440.042537407816,170,317.0179166793823,128.43850922584534,63,5952.072288523369,161
instancias/kroA200.tsp,6,600,7506.066272557674,170,2564.1787934303284,1704.722485780716,97,7220.4801996404685,161
instancias/kroA200.tsp,6,700,8338.855132540817,185,2630.5170333385468,2323.369576692581,131,8026.610543894269,178
instancias/kroA200.tsp,6,800,6990.831900171093,197,2441.9212601184845,1898.6984276771545,115,7284.09675707648,186
instancias/kroA200.tsp,8,600,8055.182465605649,191,7638.154482841492,5403.149561882019,103,7956.937550518325,180
instancias/kroA200.tsp,8,700,8122.9244424267345,200,8733.509469985962,4684.224090576172,75,9641.955674402869,193
instancias/kroA200.tsp,8,800,7576.8202050734535,200,8377.165743112564,2677.6892297267914,43,8690.279898074268,199
