instance,p,radius,final_dist,final_cov,vns_time,time_best_found,iter_best_found,init_dist,init_cov
kroB200.tsp,4,600,6124.064663911222,121,238.00437188148499,2.49759840965271,1,6531.879377093672,119
kroB200.tsp,4,700,6787.090696216486,152,257.68223547935486,38.36200571060181,3,6411.755841467523,147
kroB200.tsp,4,800,6059.944020659916,172,181.81331062316895,1.9768755435943604,1,5524.306924400561,163
kroB200.tsp,6,600,7114.942049232502,166,603.7816436290741,14.40800666809082,1,8495.209928564122,160
kroB200.tsp,6,700,7273.840665535159,193,641.6536643505096,24.56281280517578,1,7600.023479499561,179
kroB200.tsp,6,800,7558.962335346385,200,597.738751411438,44.95041275024414,1,6404.23144228213,187
kroB200.tsp,8,600,8047.278898171357,193,1604.9595465660095,90.22429370880127,1,8277.640177666246,187
kroB200.tsp,8,700,9270.36440892692,200,1347.4013080596924,32.04275560379028,1,8415.44110681726,196
kroB200.tsp,8,800,8731.649219138642,200,1009.3719825744629,4.133044719696045,1,8195.634060607796,199
