instance,p,radius,final_dist,final_cov,vns_time,time_best_found,iter_best_found,init_dist,init_cov
instancias/kroB100.tsp,4,600,7016.009675010594,65,2.4705560207366943,0.06381034851074219,1,6954.457629166052,64
instancias/kroB100.tsp,4,700,7412.914432279523,80,2.142457962036133,0.015517950057983398,1,7416.184087254507,76
instancias/kroB100.tsp,4,800,5804.2784114461365,87,2.264148235321045,0.049745798110961914,1,6346.101185581931,87
instancias/kroB100.tsp,6,600,7717.840771262276,83,9.640987157821655,4.031070709228516,37,8188.499574874935,82
instancias/kroB100.tsp,6,700,7749.461849234954,95,9.973551750183105,0.026954174041748047,1,7519.955547444282,92
instancias/kroB100.tsp,6,800,6911.345847756033,99,11.761833906173706,0.5407435894012451,2,7029.656080001974,96
instancias/kroB100.tsp,8,600,8464.251851431889,95,22.323384284973145,5.326390981674194,20,8543.74081998319,90
instancias/kroB100.tsp,8,700,8190.745449357869,100,27.698518991470337,0.3744795322418213,1,8608.827136935384,98
instancias/kroB100.tsp,8,800,6998.334587203466,100,43.01492524147034,0.25600695610046387,1,8669.67313024364,100
