instance,p,radius,final_dist,final_cov,vns_time,time_best_found,iter_best_found,init_dist,init_cov
instancias/kroA100.tsp,4,600,6200.961302334799,64,1.9709646701812744,0.013012886047363281,1,6200.9613023348,64
instancias/kroA100.tsp,4,700,7169.665024384426,77,2.088012218475342,0.012328624725341797,1,6860.489920325398,74
instancias/kroA100.tsp,4,800,6356.107138062265,84,2.3938870429992676,0.02427363395690918,1,6225.174149593059,82
instancias/kroA100.tsp,6,600,7467.507562532404,85,8.361727237701416,0.7533118724822998,7,7935.396831122082,83
instancias/kroA100.tsp,6,700,8020.359687455314,94,9.537744045257568,0.06435537338256836,1,7466.602965663067,89
instancias/kroA100.tsp,6,800,8133.1112771765875,99,10.52645492553711,0.2910280227661133,1,6839.7373710108495,94
instancias/kroA100.tsp,8,600,8125.194457099583,96,20.492199420928955,1.6787855625152588,7,8877.479163836888,92
instancias/kroA100.tsp,8,700,8530.041938360113,100,25.39814281463623,1.2067902088165283,3,8256.414729926359,98
instancias/kroA100.tsp,8,800,7037.609155112236,100,30.24860644340515,0.4370713233947754,1,8291.403525077232,100
